Name [units],Value,Reference,Notes
# Empty rows and rows starting with '#' will be ignored,,,
,,,
# ==================================================================
# Ghosh2021 PE-degradation scaffold, RE-PARAMETERISED for the
# ORegan2021 positive electrode.        FILE VERSION: v1.0
#
# Base electrode values used for recomputation (ORegan2021):
#   c_max_p = 51765   mol/m3   (Ghosh was 49340)
#   c_max_n = 29583   mol/m3
#   R_p     = 5.22e-6 m        (Ghosh was 3.8e-6)
#
# Values whose Notes read "X * c_max_p / c_max_n / R_p" were
# RECOMPUTED against ORegan's values above.
# Values marked [CARRIED OVER - REVIEW] are Ghosh-NMC811-material
# specific and were NOT rescaled. Their physical validity on the
# ORegan electrode is UNVERIFIED - review before trusting results.
# ==================================================================
,,,
# Positive electrode shell layer properties,,,
,,,
Positive core diffusivity [m2.s-1],[function]nmc811_diffusivity,,[CARRIED OVER - REVIEW] Ghosh NMC811 function
Positive shell diffusivity [m2.s-1],[function]nmc811_diffusivity_degraded,,[CARRIED OVER - REVIEW] Ghosh NMC811 function
Positive shell oxygen diffusivity [m2.s-1],1E-17,,[CARRIED OVER - REVIEW] absolute value
,,,
# chemical reaction properties,,,
Forward chemical reaction coefficient [m.s-1],0.8544E-11,,[CARRIED OVER - REVIEW] absolute value
Reverse chemical reaction coefficient [m4.mol-1.s-1],1.732E-16,,[CARRIED OVER - REVIEW] absolute value
,,,
# Initial conditions,,,
Initial concentration in positive core [mol.m-3],48762.63,,0.942 * c_max_p (ORegan 51765)
,,,
Trapped lithium concentration in shell [mol.m-3],11491.83,,0.222 * c_max_p (ORegan 51765)
Minimum concentration in positive core when fully charged [mol.m-3],11491.83,,0.222 * c_max_p (ORegan 51765)
Minimum concentration in negative particle when fully discharged [mol.m-3],59.166,,0.002 * c_max_n (ORegan 29583)
,,,
Initial oxygen concentration in positive shell [mol.m-3],[function]initial_oxygen_concentration,,[CARRIED OVER - REVIEW] function
Constant oxygen concentration in particle core [mol.m-3],152193.21,,[CARRIED OVER - REVIEW] absolute value
,,,
Initial phase boundary location [m],5.15e-6,,0.987 * R_p (ORegan 5.22e-6) - preserves Ghosh seed-shell ratio
# Initial phase boundary location [m],5.22e-6,,1.0 * R_p (ORegan) - exactly at surface (alternative; uncomment to use)
,,,
Threshold concentration for phase transition [mol.m-3],15529.5,,0.3 * c_max_p (ORegan 51765)
,,,
# Shell resistance [ohm],0.072,,
Positive electrode shell resistivity [Ohm.m],0e5,Safari 2009,[CARRIED OVER] absolute value
# Positive electrode shell resistivity [Ohm.m],1e6,Safari 2009,alternative
